  2022 - donen: None, kv_yuk: 0.0, cari_oran: None
  2025 - donen: None, kv_yuk: 0.0, cari_oran: None
  2022_06 - donen: None, kv_yuk: 0.0, cari_oran: None
  2025_06 - donen: None, kv_yuk: 0.0, cari_oran: None
  2022 - donen: 135095000000.0, kv_yuk: 154040000000.0, cari_oran: 0.8770124642949884
  2025 - donen: 436412000000.0, kv_yuk: 442076000000.0, cari_oran: 0.9871877233778807
  2022 - donen: 135095000000.0, kv_yuk: 154040000000.0, cari_oran: 0.8770124642949884
  2025 - donen: 436412000000.0, kv_yuk: 442076000000.0, cari_oran: 0.9871877233778807
  2022 - donen: 135095000000.0, kv_yuk: 154040000000.0, likit: None, kisa_borc: None, cari_oran: 0.8770124642949884
  2025 - donen: 436412000000.0, kv_yuk: 442076000000.0, likit: None, kisa_borc: None, cari_oran: 0.9871877233778807
  2022 - donen: None, kv_yuk: 0.0, likit: 25818445000.0, kisa_borc: None, cari_oran: None
  2025 - donen: None, kv_yuk: 0.0, likit: 211498708000.0, kisa_borc: None, cari_oran: None
  2022 - donen: None, kv_yuk: 0.0, likit: 17608189000.0, kisa_borc: None, cari_oran: None
  2025 - donen: None, kv_yuk: 0.0, likit: 170767596000.0, kisa_borc: None, cari_oran: None
  2022 - donen: 1767917835.0, kv_yuk: 1418257677.0, likit: None, kisa_borc: None, cari_oran: 1.2465420520336095
  2025 - donen: 5780220815.0, kv_yuk: 4364056109.0, likit: None, kisa_borc: None, cari_oran: 1.324506530307766
  2022 - donen: 135095000000.0, kv_yuk: 154040000000.0, likit: None, kisa_borc: None, cari_oran: 0.8770124642949884
  2025 - donen: 436412000000.0, kv_yuk: 442076000000.0, likit: None, kisa_borc: None, cari_oran: 0.9871877233778807
  2022 - donen: 135095000000.0, kv_yuk: 154040000000.0, likit: None, kisa_borc: None, cari_oran: 0.8770124642949884
  2025-2024 % - donen: None, kv_yuk: None, likit: None, kisa_borc: None, cari_oran: None
  2022 - donen: 135095000000.0, kv_yuk: 154040000000.0, likit: None, kisa_borc: None, cari_oran: 0.8770124642949884
  2025-2024 % - donen: None, kv_yuk: None, likit: None, kisa_borc: None, cari_oran: None
